SERIAL_NO,NAME,SITE_CLASS,DIS_ACCESS,ACCESS_DSC,COMMENTS,MAINT_BY,DESCRIPTION,TYPE,SUBURB,REGION,LOCAL_GOV_AREA,LONGITUDE,LATITUDE,join_siteI,POSTCODE,POSTCODE_SUBURB,,EVENTS
1,Jimmys Old Tool Display,MID,PARTIAL,Toolangi can be reached via Kinglake and C724 coming from the Northern suburbs of Melbourne or via Yarra Glen and the Melba Highway turning right at the Castella Picnic area and heading 8km down the Healesville - Kinglake road.  The Discovery Centre is o,NA,TOOLANGI MAIN RD,Electric BBQ available,BBQ,TOOLANGI,HUME,MURRINDINDI,145.4744012,-37.5424156,22b21e76-76f2-4b0d-b133-3fc852c721b5,3777,3777 - TOOLANGI,,https://freshlife.tk/bbq/
2,Specimen Creek,VERY BASIC,NONE,From Marysville - Take the Woods Point road.  After 18km veer left at the Cumberland Junction then turn left down Eildon Warburton road.       From Warburton - Follow the Warburton Woods Point Road and turn right at Cumberland Junction then left down Eil,NA,MARYSVILLE,Pit BBQ available,BBQ,EILDON,HUME,MURRINDINDI,146.047824,-37.5178,6f12e44a-29d7-4ca9-9756-bcb444962af4,3713,3713 - EILDON,,https://freshlife.tk/bbq/
3,Barnewall Plain Picnic Area,BASIC,NONE,"From nearby Thornton, follow the Goulburn Valley Highway B 340 and turn right onto Eildon Jamieson Rd. Continue south for 10 km before turning right onto Barnwell Plains Rd and continue for 6 km to reach the picnic area.  Note that the final section of B",NA,ALEXANDRA,Wood BBQ available,BBQ,EILDON,HUME,MURRINDINDI,145.927123,-37.3581,6f12e44a-29d7-4ca9-9756-bcb444962af4,3713,3713 - EILDON,,https://freshlife.tk/bbq/
4,Stanley Homestead,VERY BASIC,NONE,From Melbourne - travel along the Melba Highway to the intersection of Murrindindi Road just before Devlins Bridge.  Turn right and drive 8.5 km to the SEC road (do not head toward Murrindindi Scenic Reserve at this point) continue over the Murrindindi R,"Located not far from Yea, Stanley Homestead is popular  with those that like to indulge in  trailbike and four wheel driving activities.  The network of forest roads in the surrounding Black Range State forest provide various challenges for those wanting",ALEXANDRA,Wood BBQ available,BBQ,LIMESTONE,HUME,MURRINDINDI,145.559675,-37.2848,13be38f2-816d-4c99-8d0b-ec59fdcc952f,3717,3717 - LIMESTONE,,https://freshlife.tk/bbq/
5,Enoch Point,VERY BASIC,NONE,"From Melbourne take the Maroondah Hwy, turn right to Thornton and turn onto the Goulburn Valley Highway, then right onto Eildon-Jamieson road.  Big River road is 30 kilometres from the Highway.  Turn right into Big River Road and follow the gravel road f",NA,ALEXANDRA,Wood BBQ available,BBQ,ENOCHS POINT,HUME,MANSFIELD,146.098658,-37.4225,6f12e44a-29d7-4ca9-9756-bcb444962af4,3723,3723 - ENOCHS POINT,,https://freshlife.tk/bbq/
6,The Rapids,BASIC,NONE,"From the Maroondah hwy, turn right to Thornton and turn into the Goulburn Valley Highway, then right onto Eildon-Jamieson road.  Big River Road is 30 kilometres from the Highway.  Turn right into Big River Road and travel around 1.5km to the Rapids picni",NA,TOOLANGI MAIN RD,Wood BBQ available,BBQ,KEVINGTON,HUME,MANSFIELD,146.0662652,-37.3739876,6f12e44a-29d7-4ca9-9756-bcb444962af4,3723,3723 - KEVINGTON,,https://freshlife.tk/bbq/
7,Horseshoe Bend Camping Area,BASIC,NONE,"From Melbourne take the Maroondah Hwy, turn right to Thornton and turn onto the Goulburn Valley Highway, then right onto Eildon-Jamieson road.  Follow this bitumen road 1km past the Lions Club.
","Horseshoe Bend camping area is a popular spot for visitors to the Big River State Forest.  Whether you are after a relaxing camping experience or your keen to four wheel drive or trailbike, this site provides a great base to set up camp for the night.",ALEXANDRA,"Pit, and Wood BBQs available",BBQ,KEVINGTON,HUME,MANSFIELD,146.055379,-37.3665,6f12e44a-29d7-4ca9-9756-bcb444962af4,3723,3723 - KEVINGTON,,https://freshlife.tk/bbq/
8,Sawpit Picnic Area,MID,PARTIAL,"Vicroads Map 88, D5. At Narrawong turn north onto Boyers Rd; follow the bitumen all the way up the hill. When the bitumen runs out, about 500 metres on the left is the entrance to picnic area.",Sawpit picnic area is a tranquil spot in messmate forest within the Mt. Clay State Forest. It has a day visitor area and a camping area as well as a short walking track and a mountain bike track.,HEYWOOD,Wood BBQ available,BBQ,HEATHMERE,BARWON SOUTHWEST,GLENELG,141.687547,-38.2354,51bff557-dea8-44b3-8ae3-10897be6df61,3305,3305 - HEATHMERE,,https://freshlife.tk/bbq/
9,Werribee River Picnic Area,BASIC,NONE,The Werribee River Picnic Area is located approximately 1 hour from Melbourne taking the Western Highway toward Ballarat.  At Ballan follow the signs to Daylesford and turn right into Bunding Blakeville Rd at about the 9.5 km mark.  The picnic ground is,NA,DAYLESFORD,Wood BBQ available,BBQ,BUNDING,GRAMPIANS,MOORABOOL,144.170817,-37.5084,1619e162-e4a5-4f96-b6a4-540ecd1a471c,3342,3342 - BUNDING,,https://freshlife.tk/bbq/
10,Nolans Creek Picnic Area,MID,NONE,Located west of Blackwood in the Wombat State Forest. From Melbourne Blackwood is 88 km via the Western Hwy and north of Myrniong and Greendale. Head west from Blackwood on Simmons Reef Road for about 1.8km before turning right (just before the Jack Cann,NA,DAYLESFORD,Wood BBQ available,BBQ,BLAKEVILLE,GRAMPIANS,MOORABOOL,144.237124,-37.45,1619e162-e4a5-4f96-b6a4-540ecd1a471c,3342,3342 - BLAKEVILLE,,https://freshlife.tk/bbq/
